LARGEST_GIFT_AMOUNT,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,LAST_GIFT_AMOUNT,Financially_In_Dept,Avg_Gift_Amount,gifting_Capcity,gift_check,age,cat_LARGEST_GIFT_AMOUNT
180.0,2011,2011,2011,1.0,184832.0,125000.0,180.0,3748.0,628450.0,0.0,M,180.0,False,180.0,0.0009738573407202216,False,49.0,0
180.0,2008,2008,2011,3.0,20235.0,62500.0,235.0,1329.0,0.0,0.0,F,25.0,False,78.33333333333333,0.011613540894489745,False,49.0,0
108.9,2018,2018,2018,1.0,24959.0,47500.0,109.0,1186.0,0.0,0.0,M,108.9,False,108.9,0.004363155575143235,False,49.0,0
200.0,2017,2017,2017,1.0,104351.0,87500.0,200.0,4037.0,572589.0,0.0,M,200.0,False,200.0,0.001916608369828751,False,82.0,0
495.98,2020,2020,2020,1.0,46621.0,187500.0,496.0,2628.0,884992.0,0.0,F,495.98,False,495.98,0.01063855344158212,False,21.0,0
200.0,2004,2004,2012,8.0,64543.0,87500.0,1043.0,1783.0,0.0,0.0,M,15.0,False,130.375,0.01615976945602157,False,67.0,0
180.0,2014,2014,2014,1.0,112126.0,125000.0,2610.0,3890.0,752465.0,0.0,M,180.0,False,180.0,0.0016053368531830261,False,63.0,0
144.0,2006,2006,2013,5.0,47309.0,87500.0,244.0,1622.0,363794.0,0.0,F,25.0,False,48.8,0.005157581009955822,False,56.0,0
180.0,2012,2012,2012,1.0,84566.0,187500.0,180.0,2283.0,337725.0,0.0,F,180.0,False,180.0,0.0021285150060307927,False,59.0,0
200.0,2018,2018,2018,1.0,61678.0,76500.0,200.0,1745.0,495165.0,0.0,M,200.0,False,200.0,0.003242647297253478,False,71.0,0
60.0,2011,2011,2011,1.0,53810.0,125000.0,60.0,2049.0,0.0,0.0,F,60.0,False,60.0,0.0011150343802267236,False,66.0,0
180.0,2007,2011,2013,6.0,51236.0,225000.0,452.0,1986.0,520673.0,0.0,F,7.0,False,75.33333333333333,0.008821922086033258,False,33.0,0
500.0,2009,2016,2018,17.0,50162.0,87500.0,3085.0,1568.0,434035.0,2.0,F,180.0,False,181.47058823529412,0.06150073761014314,False,52.0,0
50.0,1998,2020,2020,2.0,75728.0,87500.0,75.0,3238.0,620560.0,0.0,M,50.0,False,37.5,0.000990386646946968,False,73.0,0
250.0,2007,2013,2016,3.0,126375.0,225000.0,375.0,5738.0,0.0,0.0,M,25.0,False,125.0,0.002967359050445104,False,83.0,0
180.0,2000,2011,2012,4.0,6576.0,28600.0,284.0,929.0,0.0,0.0,F,15.0,True,71.0,0.04318734793187348,False,44.0,0
180.0,2018,2018,2018,1.0,65918.0,62500.0,180.0,2575.0,714754.0,0.0,F,180.0,False,180.0,0.0027306653721290088,False,71.0,0
1000.0,1993,2016,2017,24.0,9404.0,0.0,9404.0,0.0,0.0,1.0,M,500.0,False,391.8333333333333,1.0,False,62.0,0
