ID,LARGEST_GIFT_AMOUNT,BIRTH_DATE,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_GIFT_AMOUNT,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_NETWORTH,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,FIRST_GIFT_AMOUNT,LAST_GIFT_AMOUNT,EDUCATION_SCHOOL_NAME,GRADUATE_DATE,TOTAL_YEARS_GIVING
16470,,7/1/1993,,,,,,18625,87500,116002,0,1298,0,0,M,,,,,
16471,,10/1/1974,,,,,,42448,62500,551250,0,1318,536457,0,F,,,,,
16472,,1/1/1962,,,,,,375986,187500,10042192,4635,22620,1053000,0,M,,,,,
16473,125,12/1/1959,7/26/2012,7/26/2012,7/31/2013,225,2,105372,87500,3286931,225,3548,747617,1,F,125,100,,,225
16474,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16475,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16476,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16477,,4/28/1982,,,,,,63143,187500,787877,0,3123,587861,1,F,,,,,
16478,15.16,,12/6/2001,4/23/2022,4/23/2022,229.57,18,230,0,0,230,0,0,0,F,8,15.16,,,229.57
16479,,1/1/1973,,,,,,126823,375000,1601250,0,5298,511464,0,F,,,,,
16480,,,,,,,,0,0,0,0,0,0,0,,,,,,
16481,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16482,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16483,,,,,,,,0,0,0,0,0,0,0,,,,,,
16484,100,,8/19/2021,8/19/2021,8/19/2021,100,1,100,0,0,100,0,0,0,F,100,100,,,100
16485,,3/1/1945,,,,,,138772,225000,1570822,0,5460,300435,0,F,,,,,
16486,,10/1/1958,,,,,,88870,87500,1768493,0,3150,670989,0,F,,,,,
16487,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16488,,7/1/1932,,,,,,183489,125000,3811721,39857,5751,1172630,0,M,,,,,
16489,,10/1/1945,,,,,,84087,125000,908213,0,2252,331745,0,M,,,,,
16490,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16491,,,,,,,,15750,87500,37294,0,1564,0,0,F,,,,,
16492,,1/1/1975,,,,,,46805,87500,476858,2430,1515,0,0,M,,,,,
16493,,3/1/1945,,,,,,13750,25000,7118,0,1166,0,0,F,,,,,
16494,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16495,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16496,,,,,,,,0,0,0,0,0,0,0,F,,,,,
