ID,LARGEST_GIFT_AMOUNT,BIRTH_DATE,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_GIFT_AMOUNT,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_NETWORTH,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,FIRST_GIFT_AMOUNT,LAST_GIFT_AMOUNT,Financially_In_Dept,Avg_Gift_Amount,gifting_Capcity,gift_check,age,Group,Score
4649,100.0,1974-12-01,1999,2010,2011,115.0,3.0,11365.0,45000.0,13327,115.0,1150.0,0.0,0.0,F,20.0,15.0,True,38.333333333333336,0.0101187857457105,False,48.0,0,11.195941525877622
4719,50.0,1987-05-01,2015,2015,2015,50.0,1.0,24425.0,187500.0,270236,50.0,1874.0,0.0,0.0,M,50.0,50.0,False,50.0,0.0020470829068577,False,35.0,0,10.389122307518363
4862,50.0,1982-04-01,2011,2011,2011,50.0,1.0,22550.0,125000.0,188936,50.0,1653.0,0.0,0.0,F,50.0,50.0,False,50.0,0.0022172949002217,False,41.0,0,11.552228186375997
4955,180.0,1984-11-01,2009,2009,2013,330.0,3.0,42333.0,62500.0,508412,330.0,1209.0,369860.0,0.0,F,180.0,100.0,False,110.0,0.0077953369711572,False,38.0,0,11.234468230619475
5134,180.0,1975-12-01,2011,2011,2011,180.0,1.0,31180.0,87500.0,250649,180.0,1502.0,0.0,0.0,M,180.0,180.0,False,180.0,0.0057729313662604,False,47.0,0,11.364082800164795
5153,50.0,1977-01-01,2018,2018,2018,50.0,1.0,28800.0,125000.0,223989,50.0,1726.0,0.0,0.0,F,50.0,50.0,False,50.0,0.0017361111111111,False,46.0,0,10.714373778999208
5199,180.0,1984-08-01,2010,2010,2010,180.0,1.0,1380.0,7500.0,0,180.0,507.0,0.0,0.0,F,180.0,180.0,True,180.0,0.1304347826086956,False,38.0,0,2.6601254390615554
5216,100.0,2020-06-01,2020,2020,2020,100.0,1.0,207424.0,225000.0,4615706,100.0,8920.0,546474.0,0.0,F,100.0,100.0,False,100.0,0.0004821042887997,False,2.0,0,10.552701140170711
5235,360.0,1985-03-01,2010,2010,2010,360.0,1.0,9735.0,62500.0,20718,360.0,1209.0,0.0,0.0,F,360.0,360.0,True,360.0,0.036979969183359,False,38.0,0,10.70637382207715
5325,75.0,1975-10-01,2019,2019,2019,75.0,1.0,31065.0,62500.0,306641,75.0,1306.0,319791.0,0.0,F,75.0,75.0,False,75.0,0.0024142926122646,False,47.0,0,10.761187900668503
